customer_id,tenure_months,plan_type,monthly_charges,total_charges,contract_type,payment_method,support_tickets,tech_issues,usage_hours_month,late_payments,satisfaction_score,autopay,region,churn
CUST-00088,2,Premium,88.17,167.22,Two year,Credit card,0,3,52,2,3.7,No,South,1
CUST-00089,1,Standard,55.77,54.61,One year,Electronic check,0,0,27,0,3.9,No,East,0
CUST-00090,2,Standard,66.13,130.06,One year,Credit card,0,1,57,2,3,No,North,1
CUST-00091,2,Premium,79.95,156.33,Two year,Bank transfer,2,1,38,0,3.4,No,South,0
CUST-00092,11,Standard,67.27,707.04,Two year,Credit card,0,2,21,2,3.7,Yes,South,0
CUST-00093,32,Standard,59.74,1864.64,Two year,Credit card,0,1,22,0,2.3,Yes,West,0
CUST-00094,20,Standard,74.87,1428.88,Two year,Credit card,1,1,37,3,2.3,Yes,North,0
CUST-00095,1,Standard,53.65,51.98,One year,Credit card,0,0,29,0,2.8,No,West,1
CUST-00096,28,Standard,53.24,1533.27,Two year,Electronic check,1,4,29,2,2.4,No,North,1
CUST-00097,13,Premium,85.28,1052.05,Month-to-month,Mailed check,0,2,40,0,2.6,No,East,1
CUST-00098,10,Standard,59.7,615.05,One year,Credit card,1,1,22,0,1.9,Yes,East,0
CUST-00099,6,Standard,57.04,336.97,Month-to-month,Mailed check,0,1,42,2,3.1,No,South,1
CUST-00100,33,Basic,39.05,1237.98,One year,Bank transfer,1,0,17,1,2.8,Yes,South,0
CUST-00101,29,Standard,61.4,1800.09,One year,Credit card,2,0,24,2,2.6,No,North,0
CUST-00102,12,Premium,70.97,831.97,One year,Bank transfer,1,1,51,2,2.5,Yes,South,0
CUST-00103,18,Premium,85.45,1472.64,Two year,Credit card,0,2,41,0,2.6,No,East,0
CUST-00104,7,Basic,39.07,269.9,One year,Mailed check,0,1,34,0,2.4,No,West,0
CUST-00105,41,Basic,36.61,1521.27,One year,Bank transfer,2,2,17,1,2.6,No,South,1
CUST-00106,13,Basic,29.34,363.42,Two year,Bank transfer,0,3,31,2,2.3,Yes,North,0
CUST-00107,38,Standard,64.99,2376.28,Two year,Credit card,1,2,39,0,2,Yes,East,0
CUST-00108,19,Premium,80.64,1545.33,Month-to-month,Electronic check,3,1,45,1,4.5,No,East,0
CUST-00109,2,Premium,83.9,164.38,One year,Mailed check,1,2,41,0,2,No,East,0
CUST-00110,12,Premium,91.88,1118,Two year,Mailed check,1,1,32,1,3.5,No,North,0
CUST-00111,28,Premium,75.92,2128.96,Two year,Credit card,2,3,45,1,3.2,No,East,0
CUST-00112,1,Basic,35.9,35.68,Two year,Mailed check,2,3,31,0,2.2,No,East,1
CUST-00113,29,Premium,85.83,2388.43,One year,Mailed check,3,0,29,2,3.2,No,East,1
CUST-00114,26,Premium,73.64,1874.73,One year,Credit card,0,1,60,1,3.4,Yes,North,0
CUST-00115,20,Standard,62.86,1242.06,Month-to-month,Credit card,1,2,33,4,2.4,No,North,1
CUST-00116,18,Basic,24.22,416.37,Month-to-month,Bank transfer,4,3,16,1,2,No,South,1
CUST-00117,4,Premium,98.72,378.88,Two year,Mailed check,1,0,33,2,3.5,No,West,1
CUST-00118,23,Standard,56.47,1259.09,Month-to-month,Credit card,2,1,38,1,3.7,No,South,1
CUST-00119,36,Premium,98.81,3664.87,Two year,Electronic check,0,0,47,1,3.5,No,West,0
CUST-00120,44,Standard,53.44,2419.72,One year,Credit card,0,0,37,1,4,Yes,South,0
CUST-00121,16,Standard,56.1,908.33,Month-to-month,Electronic check,4,2,39,1,2.6,Yes,South,1
CUST-00122,17,Standard,52.46,857.96,Month-to-month,Mailed check,1,1,32,1,2.6,Yes,West,1
CUST-00123,3,Basic,33.86,97.13,One year,Credit card,6,3,16,0,2.6,Yes,West,1
CUST-00124,23,Standard,42.14,982.82,One year,Credit card,1,0,41,0,4.3,Yes,East,0
CUST-00125,16,Standard,69.17,1089.43,Two year,Bank transfer,4,1,33,2,2.9,Yes,North,1
CUST-00126,8,Standard,65.34,534.1,Two year,Electronic check,2,2,15,1,2.6,No,East,1
CUST-00127,22,Premium,80.87,1832.78,One year,Mailed check,0,0,37,1,2.9,Yes,North,0
CUST-00128,48,Premium,88.91,4425.14,One year,Mailed check,0,4,33,2,3.3,Yes,South,0
CUST-00129,31,Premium,83.01,2432.47,One year,Bank transfer,2,1,52,0,3,Yes,East,0
CUST-00130,13,Standard,54.92,713.48,One year,Mailed check,2,2,35,2,2.3,Yes,South,0
CUST-00131,10,Standard,51.59,489.08,One year,Bank transfer,1,0,34,0,3.2,No,East,0
CUST-00132,3,Basic,29.41,84.22,Month-to-month,Electronic check,2,0,18,2,2.7,No,West,1
CUST-00133,19,Basic,33.26,653.22,Two year,Bank transfer,0,0,18,1,3.5,No,East,0
CUST-00134,29,Standard,56.63,1659.6,One year,Mailed check,0,1,35,2,3.2,Yes,South,1
CUST-00135,19,Basic,40.04,774.14,Two year,Bank transfer,0,2,27,1,3.6,No,East,0
CUST-00136,16,Standard,57.26,929.83,Two year,Bank transfer,0,2,34,3,1.8,No,East,0
CUST-00137,17,Standard,49.99,851.68,Month-to-month,Credit card,3,0,19,3,2.1,No,South,0
CUST-00138,17,Premium,88.05,1550.5,One year,Bank transfer,0,2,49,0,3.1,No,North,0
CUST-00139,38,Standard,59.14,2150.45,Two year,Bank transfer,2,1,31,1,3,Yes,South,0
CUST-00140,14,Premium,65.65,945.95,Month-to-month,Credit card,2,3,35,2,1.5,No,South,1
CUST-00141,4,Standard,63.65,261.92,Month-to-month,Electronic check,4,2,30,2,1.7,No,North,1
CUST-00142,11,Basic,40.43,446.29,One year,Mailed check,3,0,18,2,2.4,No,South,1
CUST-00143,15,Standard,53.87,782.41,One year,Bank transfer,0,1,45,1,3.5,No,West,0
CUST-00144,19,Basic,42.4,831.78,Month-to-month,Bank transfer,0,2,16,2,2.3,No,South,1
CUST-00145,51,Basic,31.43,1631.4,Two year,Electronic check,2,2,20,2,3.4,No,East,1
CUST-00146,18,Standard,62.01,1056.24,One year,Mailed check,0,0,35,2,2.6,No,East,0
CUST-00147,23,Basic,41.48,926.68,Two year,Mailed check,0,1,28,3,3,Yes,South,0
CUST-00148,18,Premium,90.59,1685.39,Two year,Electronic check,3,2,49,0,3.2,Yes,North,0
CUST-00149,13,Premium,99.86,1344.21,Month-to-month,Electronic check,2,1,45,0,2.7,Yes,West,0
CUST-00150,13,Basic,39.49,485.26,One year,Bank transfer,0,3,27,0,3.7,Yes,North,0
CUST-00151,25,Basic,34.16,856.02,Two year,Electronic check,0,2,12,0,3.1,Yes,East,0
CUST-00152,7,Premium,65.36,448.86,One year,Credit card,3,0,50,0,3.4,No,South,0
CUST-00153,27,Basic,30.68,787.12,Two year,Electronic check,1,2,20,0,2.3,Yes,West,0
CUST-00154,8,Standard,59.56,476.29,Month-to-month,Credit card,2,1,40,4,3.1,No,East,0
CUST-00155,24,Premium,102.81,2499.6,One year,Credit card,0,1,29,1,2.4,No,South,0
CUST-00156,13,Standard,50.58,655.67,One year,Electronic check,1,0,11,0,2.5,Yes,West,0
CUST-00157,14,Premium,96.83,1318.92,Two year,Mailed check,0,0,54,2,3.2,Yes,West,0
CUST-00158,9,Basic,24.9,221.23,One year,Credit card,0,0,39,3,2.9,Yes,South,0
CUST-00159,27,Standard,52.72,1460.76,Two year,Mailed check,2,1,44,1,2.6,Yes,North,1
CUST-00160,24,Standard,61.57,1412,Two year,Bank transfer,0,1,32,0,3.4,Yes,South,0
CUST-00161,19,Basic,40.01,773.68,Two year,Credit card,2,2,33,0,3.6,No,South,0
CUST-00162,6,Basic,28.66,172.7,One year,Electronic check,0,2,29,2,3.3,Yes,East,0
CUST-00163,15,Premium,64.34,995.78,One year,Electronic check,0,1,45,3,2.5,No,East,0
CUST-00164,24,Premium,107.9,2603.41,One year,Credit card,0,0,60,0,3.2,No,North,0
CUST-00165,1,Standard,58.61,60.29,Month-to-month,Bank transfer,2,0,20,2,2.9,No,West,1
CUST-00166,13,Premium,76.04,987.17,Month-to-month,Credit card,0,3,42,2,2,No,West,1
CUST-00167,28,Basic,36.44,1051.09,Month-to-month,Electronic check,1,1,10,0,4.9,No,North,0
CUST-00168,41,Premium,74.05,2936,Month-to-month,Mailed check,2,1,37,0,3.4,Yes,North,1
CUST-00169,19,Standard,58.77,1051.59,Month-to-month,Credit card,2,0,28,0,3.1,No,East,0
CUST-00170,11,Premium,87.12,992.21,Month-to-month,Bank transfer,0,0,34,1,2.8,No,North,1
CUST-00171,9,Premium,82.01,705.89,Two year,Bank transfer,0,2,42,0,3.4,No,North,0
CUST-00172,26,Premium,83.97,2080.15,Two year,Bank transfer,0,1,57,1,4.5,No,East,0
CUST-00173,22,Basic,35.11,756.64,Two year,Credit card,3,2,33,1,2.7,No,East,0
CUST-00174,28,Premium,82.69,2220.77,Two year,Electronic check,2,1,35,0,3.8,No,South,0
CUST-00175,14,Standard,64.51,851.31,Two year,Mailed check,0,0,44,3,3.4,Yes,South,0
CUST-00176,13,Premium,83.67,1073.35,Month-to-month,Electronic check,5,2,52,3,2.4,No,East,1
CUST-00177,29,Standard,62.27,1798.97,Month-to-month,Mailed check,2,0,44,4,3.6,No,West,1
CUST-00178,1,Standard,59.38,55.95,Month-to-month,Electronic check,1,2,33,0,3.3,No,North,1
CUST-00179,38,Premium,83.17,3166.19,Month-to-month,Credit card,2,0,37,2,3.3,Yes,North,0
CUST-00180,17,Standard,52.39,915.59,One year,Bank transfer,4,0,28,0,2.5,Yes,South,0
CUST-00181,14,Standard,58.35,833.23,One year,Credit card,1,3,36,1,2.9,Yes,West,1
CUST-00182,18,Premium,103.8,1928.69,One year,Electronic check,1,1,53,1,3.7,Yes,East,1
CUST-00183,16,Standard,57.59,866.54,Month-to-month,Credit card,0,0,36,1,2.6,Yes,South,0
CUST-00184,18,Basic,28.4,522.14,Two year,Credit card,1,0,25,0,3,No,West,0
CUST-00185,17,Basic,35.13,575.31,Two year,Electronic check,1,0,9,1,2.4,No,South,0
CUST-00186,17,Basic,38.41,677.93,Month-to-month,Bank transfer,3,3,28,0,2.6,No,South,1
CUST-00187,10,Standard,60.58,625.68,One year,Bank transfer,0,3,39,1,2.6,Yes,South,0
CUST-00188,22,Standard,56.95,1289.47,Two year,Electronic check,0,1,34,0,2.8,No,South,0
CUST-00189,29,Premium,95.5,2755.71,Two year,Bank transfer,1,3,49,1,3,Yes,South,0
CUST-00190,33,Standard,62.85,2116.06,Month-to-month,Electronic check,4,1,20,1,2.7,Yes,North,1
CUST-00191,10,Premium,83.17,844.59,Two year,Bank transfer,0,0,43,2,3.4,Yes,North,0
CUST-00192,11,Basic,32.85,368.29,One year,Mailed check,2,0,12,0,2.7,No,East,1
CUST-00193,24,Basic,39.95,954.55,Month-to-month,Bank transfer,1,1,19,2,2.7,No,South,1
CUST-00194,11,Premium,87.15,930.38,Two year,Bank transfer,3,2,31,0,2.2,No,North,0
CUST-00195,1,Standard,70.45,69.29,Two year,Credit card,3,1,20,1,2.5,Yes,West,1
CUST-00196,11,Standard,62.75,697.94,Two year,Mailed check,4,1,27,0,2.7,Yes,East,0
CUST-00197,26,Premium,93.11,2277.43,One year,Mailed check,1,0,53,2,2.5,Yes,North,0
CUST-00198,12,Basic,35.18,422.31,Month-to-month,Credit card,4,1,2,1,2.9,No,West,1
CUST-00199,26,Standard,63.07,1635.98,Two year,Mailed check,0,1,26,1,3.8,Yes,North,1
CUST-00200,24,Basic,32.29,781.18,Two year,Bank transfer,3,1,23,3,1.9,No,East,1
CUST-00201,21,Standard,52.61,1086.75,Two year,Mailed check,2,1,21,1,2.2,No,West,0
CUST-00202,8,Basic,29.1,226.39,Month-to-month,Electronic check,1,3,14,2,2.4,No,South,1
CUST-00203,14,Standard,61.42,888.83,Two year,Credit card,0,0,37,0,3.4,Yes,East,0
CUST-00204,25,Standard,60.5,1457.77,One year,Bank transfer,3,1,36,2,3.9,No,East,0
CUST-00205,9,Basic,40.03,371.28,Month-to-month,Mailed check,1,0,30,1,3.8,Yes,West,1
CUST-00206,10,Basic,34.73,327.2,One year,Mailed check,0,1,20,1,3.1,No,East,0
CUST-00207,26,Standard,48.82,1312.08,Two year,Bank transfer,0,0,11,2,3.8,No,West,0
CUST-00208,41,Premium,87.42,3455.76,Month-to-month,Mailed check,1,0,42,0,3.5,Yes,East,1
CUST-00209,25,Standard,67.58,1742.01,One year,Electronic check,0,1,35,0,3.7,No,North,0
CUST-00210,18,Premium,78.03,1399.55,One year,Credit card,0,1,49,1,2.4,No,South,0
CUST-00211,12,Standard,61.75,696.78,Two year,Electronic check,2,2,25,1,3.4,Yes,North,0
CUST-00212,6,Basic,35.78,219.34,Month-to-month,Bank transfer,3,1,27,2,2.8,No,South,1
CUST-00213,21,Basic,36.77,793.5,Two year,Credit card,0,0,22,0,3.5,No,South,0
CUST-00214,23,Basic,41.44,958.91,One year,Mailed check,0,1,26,1,3.3,Yes,West,0
CUST-00215,35,Premium,76.03,2721.56,Two year,Mailed check,0,2,53,0,3.1,Yes,East,0
CUST-00216,22,Standard,66.79,1487.66,Month-to-month,Credit card,0,0,18,2,2.3,No,West,1
CUST-00217,23,Premium,84.66,2014.87,Two year,Bank transfer,1,2,55,3,3,No,North,0
CUST-00218,20,Basic,43.13,886.7,Two year,Mailed check,0,2,34,1,2.5,No,South,0
CUST-00219,21,Premium,79.79,1720.64,Two year,Mailed check,0,1,32,0,2.7,Yes,West,1
CUST-00220,16,Standard,53.34,857.51,Two year,Mailed check,3,0,31,0,3.9,Yes,South,0
CUST-00221,12,Standard,64.25,727.58,Two year,Bank transfer,0,2,13,0,3.5,Yes,South,0
CUST-00222,3,Standard,53.33,163.75,Month-to-month,Electronic check,3,0,22,2,2.4,No,North,1
CUST-00223,8,Basic,39.86,321.41,Two year,Credit card,1,0,35,1,2.6,Yes,North,0
CUST-00224,18,Basic,30.03,517.74,Month-to-month,Electronic check,0,2,25,0,4,No,North,1
CUST-00225,6,Standard,55.61,324.3,Month-to-month,Mailed check,1,0,32,1,3.1,Yes,East,1
CUST-00226,11,Basic,34.33,370.55,Month-to-month,Electronic check,5,2,39,1,3,Yes,East,1
CUST-00227,1,Basic,29.58,30.4,One year,Bank transfer,0,4,31,1,3,No,West,1
CUST-00228,16,Standard,60.93,965.59,Two year,Mailed check,0,1,22,0,3.1,No,North,0
CUST-00229,24,Basic,40.2,968.79,One year,Credit card,0,4,9,2,2,No,West,0
CUST-00230,26,Premium,84.23,2097.39,Two year,Electronic check,0,2,52,0,3.1,Yes,West,0
CUST-00231,16,Standard,57.9,948.76,One year,Electronic check,4,1,27,2,1.8,No,North,1
CUST-00232,12,Standard,57.58,654.99,Month-to-month,Bank transfer,2,0,22,1,3.3,No,West,0
CUST-00233,42,Standard,44.19,1843.67,Two year,Mailed check,2,1,42,0,3.1,No,West,0
CUST-00234,39,Standard,69.19,2633.99,Month-to-month,Credit card,2,3,14,1,1.9,Yes,East,1
CUST-00235,22,Premium,87.01,1891.9,Two year,Mailed check,0,1,46,1,2.2,No,East,0
CUST-00236,33,Standard,42.35,1421.41,Month-to-month,Credit card,2,1,31,1,3.2,Yes,West,1
CUST-00237,10,Standard,51.27,522.59,Two year,Bank transfer,0,1,34,2,2.6,No,West,1
CUST-00238,8,Premium,97.93,741.43,Two year,Mailed check,2,0,41,0,2.5,No,West,1
CUST-00239,22,Basic,31.2,687.91,Month-to-month,Bank transfer,3,2,30,3,3.6,No,East,1
CUST-00240,1,Premium,89.83,86.89,One year,Credit card,1,1,35,0,2.7,Yes,South,0
CUST-00241,35,Premium,87.11,3117.93,Two year,Credit card,2,1,50,2,2.3,No,West,1
CUST-00242,1,Standard,58.74,58.5,Month-to-month,Mailed check,2,0,31,0,2.2,No,South,1
CUST-00243,15,Basic,33.88,520.56,Two year,Bank transfer,1,1,14,1,3.1,No,South,0
CUST-00244,24,Basic,37.03,904.94,One year,Bank transfer,2,0,22,0,3.9,Yes,East,0
CUST-00245,20,Standard,51.23,985.57,One year,Bank transfer,0,3,43,1,2.5,Yes,North,0
CUST-00246,25,Standard,55.26,1416.13,One year,Credit card,3,0,34,1,2.4,Yes,North,0
CUST-00247,11,Premium,80.67,913.25,One year,Bank transfer,1,2,51,2,3.8,Yes,West,0
CUST-00248,24,Standard,56.14,1296.09,One year,Bank transfer,1,0,30,0,3.5,No,South,0
CUST-00249,18,Basic,33,571.44,Two year,Credit card,0,2,25,1,3.7,No,North,0
CUST-00250,39,Standard,64.04,2563.9,Month-to-month,Mailed check,0,0,32,2,4.2,No,South,1
CUST-00251,26,Standard,41.84,1123.82,Month-to-month,Credit card,0,2,17,1,2.5,Yes,South,1
CUST-00252,46,Standard,69.62,3166.87,Month-to-month,Mailed check,2,1,40,2,2.6,Yes,East,0
CUST-00253,17,Basic,28.54,461.41,Two year,Bank transfer,0,1,22,0,3.8,Yes,South,0
CUST-00254,3,Premium,98.9,306.28,Month-to-month,Mailed check,0,0,32,0,4.2,No,South,1
CUST-00255,11,Basic,32.23,342.11,Month-to-month,Mailed check,4,1,36,3,3.4,No,South,1
CUST-00256,1,Premium,89.4,89.11,Two year,Mailed check,3,1,37,1,3.2,No,East,0
CUST-00257,7,Standard,63.88,449.03,One year,Bank transfer,1,1,32,1,3.2,Yes,East,1
CUST-00258,17,Premium,76.48,1270.89,One year,Bank transfer,4,0,37,0,2,Yes,West,0
CUST-00259,1,Standard,48.7,46.97,One year,Mailed check,0,0,18,0,3.1,Yes,North,0
CUST-00260,16,Premium,85.38,1341.62,One year,Mailed check,0,0,37,0,3.9,Yes,East,0
CUST-00261,10,Standard,65.49,616.83,One year,Bank transfer,0,1,42,1,4.5,Yes,West,0
CUST-00262,1,Standard,52.75,52.51,Month-to-month,Bank transfer,2,1,37,4,3,Yes,East,1
CUST-00263,10,Basic,35.49,360.31,Two year,Credit card,0,1,8,2,3.2,No,North,0
CUST-00264,35,Standard,53.04,1749.06,Month-to-month,Mailed check,2,2,26,2,1.4,Yes,East,1
CUST-00265,27,Standard,61.98,1590.54,Two year,Credit card,2,2,19,0,2.2,No,South,0
CUST-00266,36,Basic,30.74,1087.84,One year,Mailed check,0,1,20,0,4.1,No,South,0
CUST-00267,44,Basic,34.74,1446.83,One year,Mailed check,1,2,28,1,2.4,No,South,0
CUST-00268,23,Standard,54.17,1292.87,Two year,Electronic check,0,0,31,0,3.9,Yes,East,0
CUST-00269,37,Premium,87.34,3303.87,Month-to-month,Bank transfer,5,1,70,3,3,Yes,North,0
CUST-00270,21,Standard,55.51,1164.13,One year,Electronic check,0,1,23,0,3.3,No,East,0
CUST-00271,42,Basic,23.5,947.93,Two year,Bank transfer,3,1,28,2,2.9,Yes,West,0
CUST-00272,24,Basic,43.68,1042.01,Two year,Electronic check,0,3,14,0,3.6,Yes,South,0
CUST-00273,6,Premium,105.26,653.82,Two year,Bank transfer,0,3,40,1,2.7,Yes,East,1
